상권명,상권유형,업종,20254_전체점포수,20254_개업수,20254_폐업수,20254실제,20261실제,20261예측,오차
성원중학교,골목상권,한식음식점,51,1,2,4,4.0,5.37,1.37
성자초등학교,골목상권,한식음식점,14,0,0,0,15.0,4.06,-10.94
세검정,골목상권,한식음식점,6,0,0,0,0.0,3.28,3.28
세검정초등학교,골목상권,한식음식점,5,0,0,0,0.0,3.12,3.12
세곡초등학교,골목상권,한식음식점,20,2,2,10,0.0,4.74,4.74
세명컴퓨터고등학교,골목상권,한식음식점,7,0,0,0,0.0,3.41,3.41
세종대왕기념관교차로,골목상권,한식음식점,3,0,0,0,0.0,2.71,2.71
세종대학교,골목상권,한식음식점,2,0,1,50,0.0,2.13,2.13
세화어린이공원,골목상권,한식음식점,5,1,0,0,25.0,3.93,-21.07
솔밭공원역 1번,골목상권,한식음식점,4,0,0,0,0.0,2.94,2.94
솔밭공원역 2번,골목상권,한식음식점,22,1,1,5,5.0,4.66,-0.34
솔숲어린이공원,골목상권,한식음식점,2,0,0,0,0.0,2.42,2.42
송정역 2번,골목상권,한식음식점,9,0,0,0,0.0,3.64,3.64
송정역 3번,골목상권,한식음식점,42,1,1,2,2.0,5.2,3.2
송정역 4번,골목상권,한식음식점,1,1,1,100,0.0,5.33,5.33
